@relation fatigue

@attribute fatigue_value real
@attribute a0_x real
@attribute a0_y real
@attribute a1_x real
@attribute a1_y real
@attribute a2_x real
@attribute a2_y real
@attribute a3_x real
@attribute a3_y real
@attribute a4_x real
@attribute a4_y real
@attribute a5_x real
@attribute a5_y real
@attribute a6_x real
@attribute a6_y real
@attribute a7_x real
@attribute a7_y real
@attribute a8_x real
@attribute a8_y real
@attribute a9_x real
@attribute a9_y real
@attribute a10_x real
@attribute a10_y real
@attribute a11_x real
@attribute a11_y real
@attribute a12_x real
@attribute a12_y real
@attribute a13_x real
@attribute a13_y real
@attribute a14_x real
@attribute a14_y real
@attribute a15_x real
@attribute a15_y real
@attribute a16_x real
@attribute a16_y real
@attribute a17_x real
@attribute a17_y real
@attribute a18_x real
@attribute a18_y real
@attribute a19_x real
@attribute a19_y real
@attribute a20_x real
@attribute a20_y real
@attribute a21_x real
@attribute a21_y real
@attribute a22_x real
@attribute a22_y real
@attribute a23_x real
@attribute a23_y real
@attribute a24_x real
@attribute a24_y real
@attribute a25_x real
@attribute a25_y real
@attribute a26_x real
@attribute a26_y real
@attribute a27_x real
@attribute a27_y real
@attribute a28_x real
@attribute a28_y real
@attribute a29_x real
@attribute a29_y real
@attribute a30_x real
@attribute a30_y real
@attribute a31_x real
@attribute a31_y real
@attribute a32_x real
@attribute a32_y real
@attribute a33_x real
@attribute a33_y real
@attribute a34_x real
@attribute a34_y real
@attribute a35_x real
@attribute a35_y real
@attribute a36_x real
@attribute a36_y real
@attribute a37_x real
@attribute a37_y real
@attribute a38_x real
@attribute a38_y real
@attribute a39_x real
@attribute a39_y real
@attribute a40_x real
@attribute a40_y real
@attribute a41_x real
@attribute a41_y real
@attribute a42_x real
@attribute a42_y real
@attribute a43_x real
@attribute a43_y real
@attribute a44_x real
@attribute a44_y real
@attribute a45_x real
@attribute a45_y real
@attribute a46_x real
@attribute a46_y real
@attribute a47_x real
@attribute a47_y real
@attribute a48_x real
@attribute a48_y real
@attribute a49_x real
@attribute a49_y real
@attribute a50_x real
@attribute a50_y real
@attribute a51_x real
@attribute a51_y real
@attribute a52_x real
@attribute a52_y real
@attribute a53_x real
@attribute a53_y real
@attribute a54_x real
@attribute a54_y real
@attribute a55_x real
@attribute a55_y real
@attribute a56_x real
@attribute a56_y real
@attribute a57_x real
@attribute a57_y real
@attribute a58_x real
@attribute a58_y real
@attribute a59_x real
@attribute a59_y real
@attribute a60_x real
@attribute a60_y real
@attribute a61_x real
@attribute a61_y real
@attribute a62_x real
@attribute a62_y real
@attribute a63_x real
@attribute a63_y real
@attribute a64_x real
@attribute a64_y real
@attribute a65_x real
@attribute a65_y real
@attribute a66_x real
@attribute a66_y real
@attribute a67_x real
@attribute a67_y real

@data
1,-88.2064,-37.5885,-90.8899,-0.911979,-89.533,26.0003,-83.9323,56.0814,-72.932,81.3065,-56.4642,100.921,-33.35,118.37,0.2784,126.401,42.406,120.193,72.441,102.526,89.21,79.6456,99.7411,58.0673,105.81,28.3767,109.36,-1.78785,108.938,-34.5567,93.2916,-52.502,72.4965,-72.168,44.1677,-73.8732,27.7583,-62.6841,49.4077,-60.9412,70.8727,-58.7877,-77.9224,-52.635,-59.0952,-71.6693,-30.5109,-72.7239,-16.1591,-60.4508,-37.9783,-60.8645,-58.0818,-58.5857,-58.1579,-32.4285,-38.8998,-38.0334,-19.3626,-34.7871,-39.6125,-29.2493,-39.1887,-33.4501,69.7496,-32.1376,50.8242,-39.9396,31.0265,-35.479,49.755,-29.9347,50.4129,-34.9287,-9.1673,-37.945,-16.354,-13.6277,-28.9005,6.68891,-24.1237,20.8209,0.132461,24.1701,24.7647,21.7317,32.2533,8.84568,21.9497,-12.4305,17.3293,-37.4484,-14.9061,13.763,16.6206,14.8249,-42.9806,54.3662,-23.722,47.508,-10.3015,43.6738,0.879815,45.8867,12.8605,44.5297,28.8039,48.0569,45.4765,55.0427,29.6203,61.8133,16.4496,64.3977,0.815473,64.9416,-13.7435,64.653,-27.4072,61.7721,-17.2383,55.2273,2.21874,56.2803,20.6637,55.5369,22.0595,53.7916,2.48686,53.2182,-15.917,53.1593,1.60159,55.3448,0,0
9,-88.7307,-42.2757,-92.1637,-5.08857,-89.1634,23.1455,-82.6751,53.6992,-72.1017,77.4073,-55.7313,98.3797,-30.6377,114.825,5.83113,121.167,44.8584,114.233,73.0073,97.6765,88.9763,78.0157,101.456,53.4787,106.319,21.1448,108.519,-8.92401,104.903,-41.587,91.3369,-58.4942,70.4818,-77.5572,43.8944,-78.9367,29.2045,-67.4737,49.2604,-67.9839,68.3793,-66.2442,-78.0427,-57.934,-61.4347,-77.1574,-33.6051,-78.3877,-20.2732,-66.9589,-42.0649,-68.601,-60.4984,-66.2711,-58.2195,-37.7256,-39.0508,-45.9407,-19.0477,-39.8154,-39.4153,-34.8237,-38.5388,-39.9874,73.5975,-37.3775,54.9527,-46.7123,32.6572,-39.7158,54.2234,-34.7977,54.2729,-40.4249,-8.59336,-43.5711,-13.6083,-19.0553,-25.2164,5.5366,-19.5881,17.0025,2.34539,19.1068,27.2166,17.0647,31.7713,6.25993,21.1034,-17.755,17.532,-43.3435,-11.7909,10.828,17.4402,11.5056,-41.7716,53.5157,-22.5706,45.6796,-8.95464,42.1711,2.38186,44.2275,14.0767,42.722,30.2553,45.8002,46.4118,53.6105,31.2805,61.855,18.078,64.845,1.5909,64.9346,-13.0283,64.1325,-26.034,60.5909,-16.3082,53.891,2.80597,54.7996,20.7577,54.7744,21.5539,52.2923,2.69826,51.7407,-15.8009,51.6572,2.77268,53.4689,0,0
9,-80.1227,-34.1711,-82.8658,-3.50818,-79.9002,22.7608,-73.1934,52.7809,-65.9864,74.4262,-52.7203,97.3449,-29.9365,116.736,4.51453,125.407,46.2116,117.463,76.8887,99.4867,96.6577,75.8089,108.837,54.0321,114.527,21.9347,117.216,-6.04935,115.088,-32.153,98.2506,-53.9134,74.3202,-74.277,46.9163,-75.2741,30.5754,-62.9164,52.7333,-64.4382,73.1296,-62.0524,-74.3231,-55.6927,-57.7851,-73.9837,-29.8616,-74.8599,-16.0739,-60.9087,-39.2511,-64.5888,-57.1635,-63.206,-58.199,-34.7935,-38.4285,-42.3968,-17.5625,-36.9679,-38.6698,-32.2178,-38.0776,-36.75,81.638,-34.4175,61.324,-42.2378,37.6586,-36.7358,60.1369,-31.7367,60.8014,-36.4964,-4.40515,-37.6109,-11.0354,-15.5541,-23.3159,6.60177,-16.0293,18.2873,3.65068,20.8136,28.5941,19.4061,35.9437,7.62463,23.9052,-13.9842,20.7989,-37.3576,-10.4301,12.8465,19.7318,12.954,-37.2013,55.5791,-20.2266,47.177,-9.10274,43.4205,3.42065,45.4916,17.3899,44.3804,32.3159,47.6891,50.2502,55.9535,34.4365,63.4802,19.9405,66.1027,2.2959,66.6915,-10.9425,65.7954,-22.7836,62.6408,-13.5207,56.1949,3.47066,57.3762,22.1233,57.572,23.1592,54.2078,3.60868,53.7049,-12.3547,52.775,3.64587,55.8273,0,0
6,-89.9572,-46.0494,-94.4261,-10.0181,-91.77,18.4204,-85.0993,49.1778,-73.6176,72.8598,-57.6511,93.5622,-34.5926,111.659,2.07485,120.947,40.7359,112.83,66.3834,96.1256,83.6853,76.8569,97.5598,51.2425,103,20.2147,105.616,-8.27921,104.453,-38.2593,91.2973,-58.1761,71.1314,-76.9806,45.6785,-78.3606,32.0298,-66.8629,51.4429,-66.8948,69.4968,-64.9262,-75.0639,-60.335,-58.5186,-78.306,-33.3615,-79.6429,-16.5625,-66.9268,-38.5604,-68.6523,-57.4937,-66.8542,-58.4502,-38.4774,-37.6299,-45.9065,-16.7627,-39.5568,-38.0489,-35.5757,-37.2798,-40.2769,75.9435,-36.586,55.8158,-45.3054,33.3464,-38.7029,55.4054,-34.2876,55.2312,-39.4784,-5.2389,-43.7319,-11.6253,-19.6761,-24.8577,4.33786,-17.8174,17.7871,3.69877,21.1663,28.4445,19.355,34.0625,6.55259,22.4069,-17.3302,19.2072,-43.0051,-10.5596,12.5412,19.1662,13.7371,-41.6864,49.8742,-22.2901,44.0884,-8.40632,40.5699,4.63431,42.5971,17.5602,41.4969,33.366,44.2838,51.3517,49.4693,34.1003,59.6928,20.7436,62.311,3.37505,63.0352,-12.4873,61.5598,-25.7181,58.1089,-16.6838,52.5813,4.34895,54.0857,23.2853,53.6546,24.3579,50.8898,4.41211,50.1745,-14.6298,49.8661,4.246,52.6258,0,0
7,-94.2881,-32.3728,-95.5405,-0.0144103,-91.2265,28.5073,-82.7024,58.6963,-70.1702,80.7288,-53.5991,100.67,-29.7973,117.161,4.05617,124.099,41.5831,116.015,66.9173,100.324,86.5813,75.6791,97.3578,54.2674,102.649,23.3772,105.645,-5.28728,104.541,-34.7006,91.497,-53.5109,70.8617,-75.6757,43.1997,-76.255,25.3874,-62.2501,47.9631,-64.8869,67.3394,-62.5455,-84.5328,-50.3594,-65.1049,-72.79,-36.5246,-73.7245,-22.2267,-60.1073,-46.1505,-62.9347,-64.3634,-60.864,-60.8092,-32.5396,-41.2163,-40.4583,-20.4697,-35.1472,-41.5848,-29.2537,-41.0051,-34.6632,74.5741,-35.4695,54.4503,-42.9018,32.5341,-36.7943,54.4799,-31.9244,54.4978,-37.322,-9.9688,-37.4533,-14.2491,-15.0787,-24.9513,7.14382,-18.5898,20.9234,2.76804,23.0512,25.6705,20.8538,32.2462,7.495,20.3215,-14.776,16.2324,-37.8307,-10.3563,15.3793,16.5706,15.3618,-35.0504,58.8871,-20.3314,50.2367,-9.37931,46.3009,2.15458,48.5642,14.2832,46.568,27.9248,49.0846,44.1601,56.5625,29.6721,64.3529,17.2683,67.314,2.5698,68.1788,-10.7836,67.1873,-22.5213,64.8894,-13.5371,58.5557,3.14788,59.9081,18.7719,58.8861,19.2063,54.6756,3.35284,54.7106,-12.4718,54.1758,3.66408,57.5959,0,0
5,-102.382,-39.2296,-103.557,-5.54589,-100.48,22.3025,-91.8824,52.8039,-80.5131,75.7269,-62.3911,98.4091,-32.7736,115.164,2.70157,120.549,34.6829,114.553,64.0417,93.6564,76.5365,73.8754,89.1026,48.326,93.8451,17.2055,96.5221,-11.0507,92.6195,-41.1283,80.7463,-61.5268,61.0046,-80.224,35.0105,-79.9254,21.9629,-66.3216,41.2195,-68.4461,59.2019,-67.8716,-86.1826,-58.7189,-66.4881,-79.5005,-38.213,-79.6989,-24.9141,-65.6893,-47.3587,-68.6383,-66.5362,-66.3601,-65.6554,-37.5487,-48.0363,-45.4215,-28.7628,-39.5882,-48.1189,-34.7306,-48.2104,-39.9016,63.5104,-40.2403,47.3732,-47.6848,28.7422,-40.6383,46.9794,-36.5641,47.2962,-41.6845,-14.0921,-41.2174,-17.7047,-19.7015,-30.2864,5.64268,-26.3597,17.6894,0.912877,21.7568,27.3178,17.6586,29.8927,4.82875,17.3932,-19.01,13.0767,-41.4606,-13.8645,13.032,16.2886,12.6763,-46.5905,51.7516,-23.8758,46.0987,-8.46995,42.7662,2.95438,44.6584,14.5782,43.2287,30.2283,45.3586,45.7675,50.0977,30.9733,57.2297,18.7887,59.145,2.27838,60.6344,-13.4591,60.1684,-27.7292,57.4498,-16.9467,53.0782,2.40687,54.3468,20.2282,53.4008,20.9094,50.6264,2.41772,51.0169,-15.1964,50.799,1.62542,52.9721,0,0
6,-98.1265,-41.6344,-99.0649,-6.83027,-95.2445,21.5359,-86.2051,52.5038,-73.5683,74.3819,-56.5684,94.2606,-32.7644,111.815,5.16495,120.003,42.4636,111.455,67.6275,94.3852,85.644,71.4914,95.6044,47.0298,99.5477,15.8839,101.343,-13.3994,98.8551,-43.4625,85.9909,-63.0098,65.5547,-80.0491,41.0729,-80.1724,26.9082,-68.0893,46.3489,-69.6002,64.3389,-68.1307,-84.8471,-59.3378,-66.8928,-77.0876,-40.8015,-78.4676,-24.9634,-66.6156,-47.994,-68.3343,-65.9719,-66.1778,-64.7542,-38.6581,-45.2458,-46.7335,-23.0953,-41.3208,-45.0961,-36.0671,-44.6375,-41.0287,73.1514,-41.285,52.4117,-49.3077,29.4903,-42.6286,52.276,-37.71,52.1258,-43.4382,-12.1156,-44.2183,-16.4249,-19.1289,-27.1311,4.11283,-21.0594,16.2306,2.8616,18.8211,27.0774,15.0027,30.2438,3.764,19.254,-18.483,14.6812,-44.5639,-12.0104,11.441,16.7303,11.3775,-41.773,51.0261,-21.4246,45.452,-8.16985,42.7016,3.44166,44.4895,14.7875,42.8467,29.7773,44.2607,48.5102,47.756,32.4158,57.1661,19.354,61.0163,3.43984,61.5757,-12.5944,60.9232,-25.8091,57.5976,-15.0273,53.2411,4.67286,54.6545,21.8807,53.2171,21.9282,50.3761,4.37368,51.2107,-13.7964,50.5204,4.64252,53.1611,0,0
2,-100.952,-34.303,-100.925,-1.0991,-95.9886,27.8205,-87.1701,56.867,-75.5535,79.8608,-58.2662,101.739,-30.655,117.156,2.07121,120.544,32.3812,115.407,61.4361,98.0767,77.5726,76.392,91.0957,50.6756,96.547,20.5818,99.5686,-7.49528,96.3905,-38.8342,84.6711,-58.5056,62.9704,-80.0299,34.1145,-80.3618,19.1734,-65.2902,40.6517,-68.44,60.6959,-67.6172,-86.6583,-55.8673,-68.6549,-78.7049,-37.9858,-79.2286,-21.6697,-64.7327,-46.3463,-67.5209,-66.7798,-65.4751,-67.2015,-34.8806,-49.2454,-44.5434,-29.1829,-36.8962,-49.243,-31.6274,-48.7829,-37.788,66.5228,-38.2509,48.6794,-46.2818,28.8816,-37.9864,48.6658,-33.8541,48.7431,-39.7218,-12.9335,-38.0225,-15.9147,-16.6624,-27.6634,8.97103,-21.3032,20.9867,2.43267,23.5924,27.6646,21.0335,32.3936,7.37762,18.6574,-16.2635,13.9482,-38.4501,-11.1419,15.614,17.4634,14.9544,-40.5627,56.8239,-22.2302,48.5122,-8.45995,44.6671,2.77092,46.755,14.1984,44.7667,29.0101,47.0965,43.6847,53.8731,30.0607,61.38,16.8098,63.1336,0.623117,64.8815,-13.4754,63.8956,-25.9592,61.7283,-16.8639,56.1737,0.580153,57.1637,18.6551,56.3152,19.1463,52.6696,0.624513,52.9993,-15.7679,53.3371,0.524902,54.8357,0,0
10,-105.622,-40.9445,-102.983,-6.19455,-98.9425,22.8616,-90.0539,51.4049,-77.7913,74.4612,-59.7006,95.361,-35.2295,109.373,-2.05332,115.565,31.2568,109.993,57.2176,93.4198,74.3233,72.0499,84.9125,50.3515,90.7331,20.9425,94.9793,-8.8752,92.7896,-42.7868,78.8836,-66.3311,61.5137,-84.9108,33.5628,-84.6847,18.5799,-70.1136,38.0286,-72.1638,58.5872,-72.0779,-91.9605,-63.7122,-71.9209,-83.7474,-42.1958,-83.2326,-28.0481,-69.0815,-50.7249,-71.6118,-70.7456,-70.6296,-71.8513,-39.2991,-53.0396,-48.4473,-32.7877,-40.4126,-53.0584,-34.5173,-53.0553,-41.5913,66.7478,-42.5175,48.1062,-50.6653,28.336,-41.4014,48.1752,-36.7032,47.715,-43.314,-17.0568,-43.2194,-20.5459,-18.5052,-34.0096,7.46754,-28.9395,19.7724,-0.544426,22.2803,24.8422,19.6705,29.921,7.69242,16.1895,-18.6725,10.8974,-43.4944,-16.6198,13.2988,14.3327,13.8632,-46.3282,54.6422,-26.6685,46.3406,-11.63,41.6437,0.807777,43.7617,13.1547,41.7336,27.7005,45.3118,41.799,53.6147,27.7272,60.8564,15.2652,64.085,0.460972,64.8186,-16.1592,64.6884,-31.0611,61.1242,-18.0937,55.215,0.808051,56.9905,18.2192,55.5977,18.9311,51.739,1.15427,50.8627,-16.0392,50.9307,0.578621,54.4396,0,0
2,-107.41,-31.1127,-108.797,-1.28435,-107.655,25.8405,-101.081,53.6432,-89.7131,80.3063,-69.5706,103.375,-39.5376,118.81,-4.63348,122.97,27.2986,116.933,54.294,98.1283,73.0526,75.3625,83.8514,52.6928,88.4624,24.7287,91.5127,-3.43905,88.3069,-33.6543,76.6808,-55.2928,58.4578,-75.6652,31.9324,-77.7894,16.3351,-64.9746,35.0832,-64.8992,55.1492,-62.8612,-93.1268,-54.7134,-74.7057,-75.7251,-43.9528,-77.6705,-28.2063,-63.8573,-49.8972,-64.8267,-70.8478,-62.6108,-75.205,-34.1821,-56.0976,-43.4492,-34.4285,-36.1013,-55.0023,-30.7483,-55.3755,-36.8686,64.0628,-36.2383,44.9083,-43.7878,23.3585,-35.7613,43.827,-31.4677,43.6787,-37.1871,-17.9653,-35.5551,-21.9596,-12.6058,-35.1434,9.77633,-29.6114,19.5952,-2.57711,22.9906,21.7071,19.7095,28.1262,8.71043,14.8497,-13.131,9.63614,-35.8056,-18.1909,13.0288,13.1113,12.739,-50.0001,55.0805,-30.8363,43.1544,-15.1215,38.3693,-3.24231,40.5683,9.50155,38.9241,23.8792,42.8251,38.5289,53.8467,25.2523,60.5111,12.03,62.8704,-4.61125,64.657,-20.5262,64.0871,-35.0066,61.4317,-22.2193,55.923,-4.94238,57.5244,14.1631,55.7305,14.1483,48.476,-4.72638,47.8669,-21.0499,48.0326,-4.99906,53.2161,0,0
